Type,Cons_per_e,Itinerary,Avg_Slope,Shape_Leng
Secondary Road,,,8.895699186,27128.54586
Secondary Road,,,1.810553295,11832.21547
Secondary Road,,,7.660545267,38504.98134
Secondary Road,,,7.166857474,34866.17199
Secondary Road,,,3.574062983,19270.05871
Secondary Road,,,7.391335612,14919.22237
Main Road,,Itinerarium Antonini,8.635724082,15623.58974
Main Road,,Itinerarium Antonini,4.650026709,30190.78667
Main Road,,Itinerarium Antonini,8.810787924,139.9591745
Main Road,,Tabula Peutingeriana,4.003964369,990.853477
Main Road,,Tabula Peutingeriana,5.979492211,49696.38507
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",5.663594379,20572.69562
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",5.901536967,26568.14584
Secondary Road,,,2.910924572,57004.18665
Secondary Road,,,2.268579851,51576.38104
Secondary Road,,,1.864473217,29527.3116
Secondary Road,,,6.68942345,30841.64774
Secondary Road,,,3.399206863,30097.46528
Secondary Road,,,7.186807022,54508.03517
Main Road,,Tabula Peutingeriana,5.684837016,78894.78416
Main Road,,Tabula Peutingeriana,1.114280915,12623.7869
Main Road,,Tabula Peutingeriana,1.013917079,17741.29912
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",1.146670747,10942.25164
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",1.123609338,42371.59664
Secondary Road,,Itinerarium Antonini,1.483189033,59809.83147
Secondary Road,,,1.919385832,64382.48081
Main Road,Trajan (108-110 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Traiana",1.188005554,56656.29077
Main Road,Trajan (108-110 CE),"Tabula Peutingeriana, Itinerarium Antonini, Via Traiana",1.083670234,39763.5274
Secondary Road,,,0.927293056,21457.30827
Secondary Road,,,1.512081691,9435.683712
Main Road,,,2.000493601,16522.53791
Main Road,,Tabula Peutingeriana,0.71154343,17976.52613
Main Road,,Tabula Peutingeriana,1.755191299,11301.85197
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",1.111377325,6421.08283
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",1.16946799,27610.55947
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",2.213358584,887.9111842
Main Road,,"Tabula Peutingeriana, Itinerarium Antonini",1.251268712,26406.82359
